ID,Title,Author,Hardcover,Paperback,NOOK_Book,Audiobook,ISBN_13_DUMMY,ISBN_13,Series,Publisher,Publication_Date,Sales_rank,Pages,Product_dimensions
4425,A Newbies Guide to Apple Watch: The Unofficial Guide to Getting the Most Out of Apple Watch,Minute Help Guides,,$7.99 ,$2.99 ,,9.78151E+12,978-1512021035,,CreateSpace Publishing,,"1,174,339",84,8.50(w) x 11.00(h) x 0.17(d)
4426,The Hot Shoe Diaries: Big Light from Small Flashes,Joe McNally,,$35.41 ,$23.49 ,,9.78032E+12,978-0321580146,Voices That Matter Series,New Riders,,"684,563",303,9.06(w) x 8.10(h) x 0.75(d)
4427,"Fake: Forgery, Lies, and Ebay",Kenneth Walton, ,$12.81 ,$13.99 ,,9.78142E+12,978-1416948056,,Gallery Books,,,304,5.60(w) x 8.20(h) x 0.80(d)
4428,Affiliate Competition Destroyer,Anonymous,,,$2.99 ,,2.94001E+12,294-0013794955,,qasim idrees,,"684,711",,
4429,Practical MDX Queries: For Microsoft SQL Server Analysis Services 2008 / Edition 1,Art Tennick,,$27.00 ,$31.49 ,,9.78007E+12,978-0071713368,,McGraw-Hill Professional Publishing,,"684,753",304,7.30(w) x 9.00(h) x 0.70(d)
4430,30 Amazing E-mail Marketing Tactics,Anonymous,,,,,2.94001E+12,294-0012650689,,qasim idrees,,"687,481",,
4431,Amazon Bestseller Genie,Anonymous,,,,,2.94015E+12,294-0149259694,,qasim idrees,,"687,357",,
4432,Amazon Payday Secrets,Anonymous,,,,,2.94002E+12,294-0015620009,,qasim idrees,,"687,392",,
4433,"Oracle Hyperion Financial Management Tips And Techniques: Design, Implementation & Support",Peter Fugere,,$52.70 ,$43.49 ,,9.78007E+12,978-0071770446,Oracle Press Series,McGraw-Hill Professional Publishing,,"759,206",432,7.30(w) x 9.10(h) x 0.90(d)
4434,Affiliate Greed,Anonymous,,,,,2.94001E+12,294-0012301956,,qasim idrees,,"687,627",,
4435,Mike Meyers' CISSP(R) Certification Passport,Shon Harris,, ,$17.49 ,,9.78007E+12,978-0071704366,Passport,McGraw-Hill Education,,"687,639",422,
4436,The Payoneer MasterCard,John Monyjok Maluth,,,,,2.94005E+12,294-0045984195,,Discipleship Press,,"687,763",,
4437,David Busch's Nikon P7700 Guide to Digital Photography,David D. Busch,,$21.25 ,$20.99 ,,9.78129E+12,978-1285459349,David Busch's Digital Photography Guides Series,Cengage Learning,,,352,7.30(w) x 9.00(h) x 1.00(d)
4438,Disaster Recovery: Principles and Practices / Edition 1,April Wells# Charlyne Walker# Timothy Walker# David Abarca,,$128.30 ,,,9.78013E+12,978-0131711273,Prentice Hall Security Series,Prentice Hall,,"686,126",298,7.30(w) x 8.90(h) x 0.80(d)
4439,Excel 2007 VBA Programmer's Reference,John Green# Michael Alexander# Stephen Bullen# Rob Bovey,,$24.79 ,$20.99 ,,9.78047E+12,978-0470046432,Programmer to Programmer Series,Wiley,,"686,223",1176,7.46(w) x 9.20(h) x 2.12(d)
4440,Samsung Galaxy Note For Dummies,Dan Gookin,,$15.54 ,$12.99 ,,9.78112E+12,978-1118388464,For Dummies Series,Wiley,,"881,402",384,7.30(w) x 9.10(h) x 0.80(d)
4441,OneNote: OneNote Ultimate User Guide to Getting Things Done,Mr Jack Ecko,,,,,9.78151E+12,978-1512276961,,CreateSpace Publishing,,"686,569",92,6.00(w) x 9.00(h) x 0.19(d)
4442,How Would You Move Mount Fuji?: Microsoft's Cult of the Puzzle - How the World's Smartest Companies Select the Most Creative Thinkers,William Poundstone, ,,$9.99 ,,9.78076E+12,978-0759528024,,"Little, Brown and Company",,"686,524",,
4443,Learning to Program Using Python,Cody Jackson,,$9.99 ,$3.99 ,,9.78146E+12,978-1461182054,,CreateSpace Publishing,,,232,6.00(w) x 9.00(h) x 0.49(d)
4444,"The Big Book of Nook: Handbooks Covering the Nook Tablet, Nook Color, and Nook Simple Touch",Minute Help Guides,,,,,2.94001E+12,294-0013830639,,Minute Help Press,,"686,660",,
4445,Data Mining and Analysis: Fundamental Concepts and Algorithms,Mohammed J. Zaki# Wagner Meira# Jr.,$51.01 ,,$33.80 ,,9.78052E+12,978-0521766333,,Cambridge University Press,,"692,881",624,7.20(w) x 10.40(h) x 1.30(d)
4446,The HTML Pocket Guide,Bruce Hyslop,,$11.89 ,$10.49 ,,9.78032E+12,978-0321699749,Pearson Pocket Guide Series,Peachpit Press,,"859,952",301,5.00(w) x 6.90(h) x 0.70(d)
4447,Special Edition Using Microsoft Office Visio 2007 [Special Edition Using Series],Steven Holzner,,$38.48 ,$20.99 ,,9.78079E+12,978-0789736864,Special Edition Using Series,Que,,"692,955",652,7.00(w) x 9.05(h) x 1.33(d)
4448,Microsoft Office Word 2010: Illustrated Brief / Edition 1,Jennifer Duffy,,$47.95 ,,,9.78054E+12,978-0538748223,Available Titles Skills Assessment Manager (SAM) - Office 2010 Series,Cengage Learning,,"692,966",152,8.30(w) x 10.70(h) x 0.30(d)
4449,"Enterprise Architecture Planning: Developing a Blueprint for Data, Applications, and Technology / Edition 2",Steven H. Spewak# Hill Steve# Steven C. Hill,,$100.80 ,,,9.78047E+12,978-0471599852,,Wiley,,"693,201",392,6.20(w) x 9.30(h) x 0.88(d)
4450,Microsoft PowerPoint 2010: Illustrated Brief / Edition 1,David W. Beskeen,,$45.07 ,,,9.78054E+12,978-0538748308,Available Titles Skills Assessment Manager (SAM) - Office 2010 Series,Cengage Learning,,"692,576",144,8.40(w) x 10.60(h) x 0.30(d)
4451,Inside Microsoft SharePoint 2013,Scot Hillier# Ted Pattison# Mirjam van Olst# Andrew Connell,,$31.05 ,$23.49 ,,9.78074E+12,978-0735674479,Developer Reference Series,Microsoft Press,,"704,114",776,7.40(w) x 8.90(h) x 1.70(d)
4452,Building Minecraft Server Modifications,Cody M. Sommer,,,,,9.78185E+12,978-1849696012,,Packt Publishing,,"693,369",,
4453,The Sharepoint Shepherd's Guide for End Users: 2013,Robert L. Bogue,,,,,9.78098E+12,978-0982419816,,AvailTek LLC,,"693,459",400,7.44(w) x 9.69(h) x 0.82(d)
4454,Mastering Perl,brian d foy,,$35.56 ,$22.49 ,,9.78145E+12,978-1449393113,,"O'Reilly Media, Incorporated",,"1,321,672",400,7.00(w) x 9.10(h) x 0.90(d)
4455,Introduction to Adobe Creative Cloud,Conrad Chavez,,,,,9.78013E+12,978-0133510034,,Pearson Education,,"693,949",35,
4457,Managing Cyberecurity Resources: A Financial Perspective / Edition 1,Lawrence Gordon# Martin Loeb,,,,,9.78007E+12,978-0071452854,,McGraw-Hill Professional Publishing,,"694,043",224,6.20(w) x 9.10(h) x 0.90(d)
4458,"Learn ASP.Net 4.5, C# and Visual Studio 2012 Essential Skills with the Smart Method",Simon Smart,,,,,9.78191E+12,978-1909253049,,The Smart Method Ltd,,"693,785",380,8.27(w) x 11.69(h) x 0.78(d)
4459,Security First Bank: A Banking Customer Simulation / Edition 5,Patsy Hall Sargent# Mary Faye Ward,,,,,9.78054E+12,978-0538443999,Financial Literacy Promotion Project Series,Cengage Learning,,"693,857",96,8.90(w) x 11.70(h) x 0.60(d)
4460,Easy Drop Shipping Guide,Janette Batista,,,,,9.78131E+12,978-1312869608,,Lulu.com,,"694,367",,
4461,Letting Go of the Words: Writing Web Content that Works / Edition 1,Janice (Ginny) Redish,,$30.74 ,$29.99 ,,9.78012E+12,978-0123694867,Interactive Technologies Series,Elsevier Science,,"694,593",384,7.52(w) x 9.26(h) x 0.77(d)
4462,Make Profit$ Selling Cellphones on EBay,Nsite eBooks,,,,,2.94002E+12,294-0016333045,,Nsite eBooks,,"694,673",,
4463,The Art of Software Security Testing: Identifying Software Security Flaws / Edition 1,Chris Wysopal# Lucas Nelson# Dino Dai Zovi# Elfriede Dustin,,$46.54 ,$47.49 ,,9.78032E+12,978-0321304865,Symantec Press Series,Addison-Wesley,,"694,842",312,7.00(w) x 8.97(h) x 0.78(d)
4464,Search Engines: Information Retrieval in Practice,Bruce Croft# Donald Metzler# Trevor Strohman,$114.68 ,,,,9.78014E+12,978-0136072249,Alternative eText Formats Series,Pearson,,"694,900",552,7.60(w) x 9.20(h) x 1.10(d)
4465,"Algorithms in C++, Parts 1-4: Fundamentals, Data Structure, Sorting, Searching / Edition 3",Robert Sedgewick# Christopher J. Van Wyk,,$54.83 ,$51.99 ,,9.7802E+12,978-0201350883,,Addison-Wesley,,"694,918",716,7.60(w) x 8.90(h) x 1.70(d)
4466,"The Art of Applications Performance Testing, 2E",Ian Molyneaux,,$29.60 ,$22.49 ,,9.78149E+12,978-1491900543,,"O'Reilly Media, Incorporated",,"695,177",278,7.00(w) x 9.10(h) x 0.70(d)
4467,Excel 2010 Just the Steps For Dummies,Diane Koers,,$13.34 ,$8.99 ,,9.78047E+12,978-0470501641,For Dummies Series,Wiley,,"695,741",240,9.10(w) x 7.20(h) x 0.50(d)
4468,Three Weeks to eBay Profits: Go From Beginner to Successful Seller in Less than a Month,Skip McGrath,,$15.39 ,,,9.78145E+12,978-1454905813,,Sterling,,"695,820",304,6.90(w) x 8.90(h) x 0.80(d)
4469,My Excel 2013,Michael Alexander,,$23.17 ,$11.99 ,,9.78079E+12,978-0789750754,My... Series,Que,,"696,118",241,5.90(w) x 8.90(h) x 0.60(d)
4470,Windows 8 for Seniors: For Senior Citizens Who Want to Start Using Computers,Studio Visual Steps,,$17.68 ,,,9.78906E+12,978-9059051188,Computer Books for Seniors Series,Visual Steps Publishing,,"696,136",368,7.80(w) x 9.90(h) x 0.80(d)
4471,Building a Web Site For Dummies,David A. Crowder,$15.05 ,$15.63 ,$12.99 ,,9.78047E+12,978-0470560938,For Dummies Series,Wiley,,"696,195",360,7.72(w) x 11.28(h) x 0.75(d)
4472,The Complete Idiot's Guide to Social Media Marketing: 2nd Edition,Jennifer Abernethy,,$15.84 ,$13.99 ,,9.78162E+12,978-1615641598,Complete Idiot's Guide Series,DK,,"696,291",368,
4473,"Build, Discover, Survive! Mastering Minecraft Strategy Guide",BradyGames,,,,,9.78074E+12,978-0744015669,,"DK Publishing, Inc.",,"696,525",208,8.50(w) x 10.80(h) x 0.40(d)
4474,Minecraft Construction For Dummies,Adam Cordeiro# Emily Nelson,,$11.07 ,$10.99 ,,9.78112E+12,978-1118968406,,Wiley,,"696,551",224,5.50(w) x 8.40(h) x 0.60(d)
4475,Office 2007 All-in-One Desk Reference For Dummies,Peter Weverka,,$23.67 ,$15.99 ,,9.78047E+12,978-0471782797,For Dummies Series,Wiley,,"696,620",816,7.40(w) x 9.30(h) x 1.70(d)
4476,Minecrafter 2.0 Advanced: The Unofficial Guide to Minecraft & Other Building Games,Triumph Books,,$10.38 ,$10.49 ,,9.7816E+12,978-1600789984,,Triumph Books,,"696,776",128,8.30(w) x 10.70(h) x 0.50(d)
4477,David Busch's Nikon D7000 Guide to Digital SLR Photography,David D. Busch,,$18.20 ,$20.99 ,,9.78144E+12,978-1435459427,David Busch's Digital Photography Guides Series,Cengage Learning,,"696,781",560,7.40(w) x 9.10(h) x 1.40(d)
4478,Raspberry Pi in Easy Steps,Mike McGrath,,,,,9.78184E+12,978-1840785814,In Easy Steps,In Easy Steps Limited,,"696,791",192,8.80(w) x 7.20(h) x 0.40(d)
4479,JavaScript: Visual QuickStart Guide,Dori Smith# Tom Negrino,,$29.02 ,$17.99 ,,9.78032E+12,978-0321996701,,Peachpit Press,,"696,874",552,7.00(w) x 9.00(h) x 1.10(d)
4480,Dreamweaver CC: The Missing Manual: Covers 2014 release,David Sawyer McFarland# Chris Grover,,$36.34 ,$24.99 ,,9.78149E+12,978-1491947203,,"O'Reilly Media, Incorporated",,"696,886",1028,6.90(w) x 9.10(h) x 1.90(d)
4481,"The Web Designer's Idea Book, Volume 3: Inspiration from Today's Best Web Design Trends, Themes and Styles",Patrick McNeil,,$20.58 ,$17.49 ,,9.78144E+12,978-1440323966,,F+W Media,,"696,963",288,8.00(w) x 8.00(h) x 0.90(d)
4482,Teach Yourself VISUALLY Complete Excel,Paul McFedries,,$27.81 ,$18.49 ,,9.78112E+12,978-1118653746,Teach Yourself VISUALLY (Tech) Series,Wiley,,"696,984",600,7.40(w) x 9.10(h) x 1.20(d)
4483,Build an HTML5 Game: A Developer's Guide with CSS and JavaScript,Karl Bunyan,,$22.12 ,$13.49 ,,9.78159E+12,978-1593275754,,"No Starch Press San Francisco, CA",,"697,010",224,7.00(w) x 9.10(h) x 0.80(d)
4484,The Pattern On The Stone: The Simple Ideas That Make Computers Work,W. Daniel Hillis, ,$13.21 ,,,9.78047E+12,978-0465066933,,Basic Books,,"697,091",192,5.40(w) x 8.20(h) x 0.70(d)
4485,Digital Photography: An Introduction (Fourth Edition),Tom Ang# Dorling Kindersley Publishing Staff,,$12.76 ,,,9.78147E+12,978-1465402158,,DK,,"697,105",224,5.70(w) x 8.20(h) x 0.60(d)
4486,"Digital Portrait Photography: Art, Business & Style",Steve Sint,,$17.78 ,,,9.7816E+12,978-1600593352,Lark Photography Book Series,Pixiq,,"697,300",224,8.50(w) x 10.90(h) x 0.70(d)
4487,QuickBooks 2014 on Demand,Gail Perry CPA# Michelle Long,,$26.25 ,$16.49 ,,9.78079E+12,978-0789752345,On Demand Series,Que,,"697,355",480,7.50(w) x 9.10(h) x 1.00(d)
4488,"Networking is a Contact Sport: How Staying Connected and Serving Others Will Help You Grow Your Business, Expand Your Influence -- or Even Land Your Next Job",Joe Sweeney,$23.25 ,$13.47 ,$8.49 ,,9.78194E+12,978-1936661176,,"BenBella Books, Inc.",,"697,444",230,6.00(w) x 9.00(h) x 0.80(d)
4489,"The Complete Idiot's Guide to Ebay, 2nd Edition",Skip McGrath# Lissa Mcgrath,,$15.86 ,$11.99 ,,9.78159E+12,978-1592579693,Complete Idiot's Guide Series,DK,,"697,456",432,
4490,Getting a Big Data Job For Dummies,Jason Williamson,,$24.67 ,$15.99 ,,9.78112E+12,978-1118903407,For Dummies Series,Wiley,,"697,523",264,7.30(w) x 9.10(h) x 0.70(d)
4491,Word 2013 eLearning Kit For Dummies,Lois Lowe,,$33.70 ,$18.49 ,,9.78112E+12,978-1118491263,,Wiley,,"697,569",352,7.30(w) x 9.00(h) x 0.90(d)
4492,Webinars For Dummies,Sharat Sharan# John Carucci,,$16.81 ,$13.99 ,,9.78112E+12,978-1118885727,For Dummies Series,Wiley,,"697,643",288,7.30(w) x 9.20(h) x 0.70(d)
4493,Windows 8 eLearning Kit For Dummies,Faithe Wempen,,$31.72 ,$20.99 ,,9.78112E+12,978-1118202876,For Dummies Series,Wiley,,"697,663",416,7.30(w) x 9.10(h) x 1.00(d)
4494,Adobe Illustrator CC on Demand,Perspection Inc.# Steve Johnson,,$29.46 ,$18.49 ,,9.78079E+12,978-0789751645,On Demand Series,Que,,"697,699",540,7.40(w) x 9.00(h) x 1.00(d)
4495,Digital Literacy For Dummies,Faithe Wempen,,$20.45 ,$19.49 ,,9.78112E+12,978-1118962862,,Wiley,,"697,756",456,7.30(w) x 9.10(h) x 1.00(d)
4496,The iPad for Photographers,Jeff Carlson,,$19.96 ,$11.99 ,,9.78013E+12,978-0133888478,,Peachpit Press,,"697,760",240,7.10(w) x 9.10(h) x 0.50(d)
4497,Unofficial Guide to Starting a Business Online,Jason R. Rich,,$18.99 ,,,9.78047E+12,978-0471748380,Unofficial Guides Series,Wiley,,"697,761",456,5.30(w) x 8.30(h) x 0.95(d)
4498,Passwords & Internet Addresses Journal For Dummies,Ryan C. Williams,,,,,9.78112E+12,978-1118828366,For Dummies Series,Wiley,,"697,801",192,6.10(w) x 8.49(h) x 0.34(d)
4499,Troubleshooting and Maintaining Your PC All-in-One For Dummies,Dan Gookin,,$25.82 ,$20.99 ,,9.78047E+12,978-0470878675,For Dummies Series,Wiley,,"698,048",792,7.40(w) x 9.20(h) x 1.70(d)
4500,Head First C,David Griffiths# Dawn Griffiths,,$30.55 ,$22.99 ,,9.78145E+12,978-1449399917,,"O'Reilly Media, Incorporated",,"698,074",632,7.99(w) x 9.26(h) x 1.31(d)
4501,The Best Interface Is No Interface: The simple path to brilliant technology,Golden Krishna,,$21.73 ,$15.49 ,,9.78013E+12,978-0133890334,Voices That Matter Series,New Riders,,"698,130",256,6.00(w) x 8.90(h) x 0.70(d)
4502,Creative Fashion Design with Illustrator,Kevin Tallon,,$16.70 ,,,9.78185E+12,978-1849941204,,"Batsford, B.T. Ltd.",,"698,167",176,9.80(w) x 9.80(h) x 0.50(d)
4503,Tips and Tricks for the iPad with iOS 8 for Seniors: Get More Out of Your iPad,Studio Visual Steps,,,,,9.78906E+12,978-9059053908,Computer Books for Seniors series,Visual Steps Publishing,,"698,210",304,7.80(w) x 9.90(h) x 0.70(d)
4504,PCs All-in-One For Dummies,Mark L. Chambers,,$22.29 ,$18.49 ,,9.78112E+12,978-1118280355,For Dummies Series,Wiley,,"698,221",720,7.30(w) x 9.10(h) x 1.50(d)
4505,How to Cheat in Photoshop CC: The Art of Creating Realistic Photomontages,Steve Caplin,,$34.40 ,$39.49 ,,9.78042E+12,978-0415712385,,Taylor & Francis,,"698,308",464,7.40(w) x 9.60(h) x 1.20(d)
4506,Java Programming Interviews Exposed,Noel Markham,,$31.76 ,$22.99 ,,9.78112E+12,978-1118722862,,Wiley,,"698,312",384,7.30(w) x 9.10(h) x 1.00(d)
4507,The Non-Designer's Design and Type Books: Deluxe Edition,Robin Williams,,$34.96 ,,,9.78032E+12,978-0321534057,,Peachpit Press,,"698,315",448,7.04(w) x 10.03(h) x 0.79(d)
4508,301 Ways to Use Social Media To Boost Your Marketing,Catherine Parker,,$15.65 ,$12.49 ,,9.78007E+12,978-0071739047,,McGraw-Hill Professional Publishing,,"698,567",352,5.90(w) x 8.90(h) x 0.90(d)
4509,"The Official eBay Bible, Third Edition: The Newly Revised and Updated Version of the Most Comprehensive eBay How-To Manual for Everyone from First-Time Users to eBay Experts",Jim Griffith,,$21.72 ,$20.99 ,,9.78159E+12,978-1592403011,Official Ebay Bible Series,Penguin Publishing Group,,"698,579",768,
4510,Idea to iPhone: The essential guide to creating your first app for the iPhone and iPad,Carla White,,$24.10 ,$16.49 ,,9.78112E+12,978-1118523223,,Wiley,,"698,586",312,7.40(w) x 9.20(h) x 0.70(d)
4511,Beginning Android Games,Mario Zechner# Robert Green,,$28.44 ,$28.79 ,,9.78143E+12,978-1430246770,,Apress,,"698,591",714,7.50(w) x 9.30(h) x 1.60(d)
4512,Canon EOS 6D Digital Field Guide,Michael Corsentino,,$16.26 ,$13.99 ,,9.78112E+12,978-1118516706,Digital Field Guide Series,Wiley,,"698,602",320,6.00(w) x 8.90(h) x 0.70(d)
4513,C++ Pocket Reference,Kyle Loudon,$16.64 ,$9.95 ,$6.99 ,,9.7806E+12,978-0596004965,,"O'Reilly Media, Incorporated",,"698,672",140,4.25(w) x 7.00(h) x 0.40(d)
4514,Hacking Raspberry Pi,Timothy L. Warner,,$24.37 ,$13.49 ,,9.78079E+12,978-0789751560,,Que,,"698,715",384,7.00(w) x 9.00(h) x 1.00(d)
4515,Microsoft Project 2010 Inside Out,Teresa S. Stover# Bonnie Biafore# Andreea Marinescu,,$33.39 ,$25.49 ,,9.78074E+12,978-0735626874,Microsoft Inside Out Series,Microsoft Press,,"699,027",1352,7.40(w) x 8.90(h) x 2.30(d)
4516,IT Essentials: PC Hardware and Software Companion Guide,Cisco Networking Academy,$55.33 ,,$41.49 ,,9.78159E+12,978-1587133084,Companion Guide Series,Cisco Press,,"699,038",773,8.40(w) x 9.40(h) x 1.40(d)
4517,Microsoft PowerPoint 2013 Plain & Simple,Nancy Muir,,$14.97 ,$11.99 ,,9.78074E+12,978-0735669369,Plain & Simple Series,Microsoft Press,,"699,130",304,7.20(w) x 9.00(h) x 0.80(d)
4518,Raspberry Pi Projects for the Evil Genius,Donald Norris,,$17.34 ,$13.99 ,,9.78007E+12,978-0071821582,Evil Genius Series,McGraw-Hill Professional Publishing,,"699,246",224,8.40(w) x 10.70(h) x 0.60(d)
4519,"Hacking Exposed Wireless, Third Edition: Wireless Security Secrets & Solutions",Joshua Wright# Johnny Cache,,$41.88 ,$34.99 ,,9.78007E+12,978-0071827638,Hacking Exposed Series,McGraw-Hill Professional Publishing,,"699,307",560,7.30(w) x 8.80(h) x 1.50(d)
4520,Developing Mobile Websites with HTML5,David Karlins,,$27.25 ,$27.99 ,,9.78131E+12,978-1305090538,,Cengage Learning,,"699,324",384,7.30(w) x 9.00(h) x 1.10(d)
4521,Beginning Python: Using Python 2.6 and Python 3.1,James Payne,,$31.72 ,$22.99 ,,9.78047E+12,978-0470414637,,Wiley,,"699,345",624,7.30(w) x 9.10(h) x 1.30(d)
4522,Essential Algorithms: A Practical Approach to Computer Algorithms,Rod Stephens,,$48.27 ,$34.49 ,,9.78112E+12,978-1118612101,,Wiley,,"699,393",624,7.30(w) x 9.20(h) x 1.30(d)
4523,JavaFX For Dummies,Doug Lowe,,$23.90 ,$16.49 ,,9.78112E+12,978-1118385340,,Wiley,,"699,685",432,7.30(w) x 9.20(h) x 0.90(d)
4524,Beginning Spring,Mert Caliskan# Kenan Sevindik,,$32.24 ,$25.99 ,,9.78112E+12,978-1118892923,,Wiley,,"699,827",480,7.30(w) x 9.20(h) x 0.90(d)
4525,Canon EOS Rebel T5i/700D Digital Field Guide,Sillars,,$16.07 ,$12.99 ,,9.78112E+12,978-1118711644,,Wiley,,"700,051",288,6.00(w) x 8.90(h) x 0.80(d)
4526,Beginning Arduino,Michael McRoberts,,$31.94 ,$23.99 ,,9.78143E+12,978-1430250166,,Apress,,"700,108",424,7.40(w) x 9.20(h) x 1.10(d)
4527,GameMaker: Studio For Dummies,Michael Rohde,,$28.88 ,$16.49 ,,9.78112E+12,978-1118851777,,Wiley,,"700,122",352,7.30(w) x 9.10(h) x 0.80(d)
4528,Creating Web Pages For Dummies,Bud E. Smith,$13.38 ,$19.27 ,$12.99 ,,9.78047E+12,978-0470385357,For Dummies Series,Wiley,,"700,179",336,9.12(w) x 7.42(h) x 0.76(d)
4529,"3ds Max in 24 Hours, Sams Teach Yourself",Stewart Jones,,$35.47 ,$20.99 ,,9.78067E+12,978-0672336997,Sams Teach Yourself -- Hours Series,Sams,,"700,185",416,6.80(w) x 9.10(h) x 0.90(d)
4530,Statistical Analysis: Microsoft Excel 2010,Conrad Carlberg,,$24.58 ,$18.49 ,,9.78079E+12,978-0789747204,MrExcel Library Series,Que,,"700,314",464,6.90(w) x 9.00(h) x 1.10(d)
4531,Advanced Photoshop CC Digital Classroom for Design Professionals,Jennifer Smith# AGI Creative Team,,$32.36 ,$25.99 ,,9.78112E+12,978-1118124147,Digital Classroom Series,Wiley,,"700,347",352,9.00(w) x 7.30(h) x 0.80(d)
4532,Nikon D5200 Digital Field Guide,J. Dennis Thomas,,$15.63 ,$12.99 ,,9.78112E+12,978-1118534366,Digital Field Guide Series,Wiley,,"700,359",320,5.90(w) x 8.90(h) x 0.90(d)
4533,Photoshop CC: Essential Skills: A guide to creative image editing,Mark Galer# Philip Andrews,,$35.45 ,$37.46 ,,9.78042E+12,978-0415715713,,Taylor & Francis,,"700,369",536,7.40(w) x 9.50(h) x 1.20(d)
4534,Pro Spring,Chris Schaefer# Clarence Ho# Rob Harrop,,$43.63 ,$35.49 ,,9.78143E+12,978-1430261513,,Apress,,"700,400",728,7.50(w) x 9.20(h) x 1.50(d)
4535,CompTIA Cloud+ Certification Study Guide (Exam CV0-001),Nate Stammer# Scott Wilson,,,$37.50 ,,9.78007E+12,978-0071828840,Certification Press,McGraw-Hill Education,,"820,894",640,
4536,Git for Teams: A User-Centered Approach to Creating Efficient Workflows in Git,Emma Jane Hogbin Westby,,$48.40 ,$24.99 ,,9.78149E+12,978-1491911181,,"O'Reilly Media, Incorporated",,"700,611",356,6.90(w) x 9.10(h) x 0.80(d)
4537,Web Marketing For Dummies,Jan Zimmerman,,$16.94 ,$14.99 ,,9.78112E+12,978-1118065167,For Dummies Series,Wiley,,"700,723",432,7.38(w) x 9.22(h) x 0.92(d)
4538,Halo 4: Prima Official Game Guide,David Hodgson# Major League Gaming,,,,,9.78031E+12,978-0307895691,,DK Games,,"700,972",416,7.12(w) x 10.70(h) x 1.06(d)
4539,The NOOK Book: An Unofficial Guide (Barnes & Noble Special Edition) (Fifth Edition),Patrick Kanouse,,$15.23 ,$9.49 ,,9.78079E+12,978-0789752925,,Que,,"700,994",368,6.00(w) x 9.00(h) x 0.90(d)
4540,How to Cheat in Photoshop CS6: The art of creating realistic photomontages,Steve Caplin,,$41.40 ,$36.71 ,,9.78024E+12,978-0240525921,,Taylor & Francis,,"701,074",464,7.40(w) x 9.60(h) x 1.20(d)
4541,Web Development with jQuery,Richard York,,$35.68 ,$25.99 ,,9.78112E+12,978-1118866078,,Wiley,,"701,089",672,7.30(w) x 9.00(h) x 1.20(d)
4542,Beginning the Linux Command Line,Sander van Vugt,,$22.90 ,,,9.78143E+12,978-1430218890,,Apress,,"701,245",392,6.90(w) x 9.20(h) x 1.00(d)
4543,Dr Horrible's Sing-Along Blog Book,Joss Whedon,,$15.43 ,,,9.78185E+12,978-1848568624,,Titan,,"701,262",160,8.50(w) x 10.80(h) x 0.50(d)
4544,MCSA Windows Server 2012 R2 Configuring Advanced Services Study Guide: Exam 70-412,William Panek,,$29.02 ,$20.99 ,,9.78112E+12,978-1118870129,,Wiley,,"701,305",372,7.30(w) x 9.10(h) x 0.90(d)
4545,Hadoop Operations,Eric Sammer,,$42.39 ,$24.99 ,,9.78145E+12,978-1449327057,,"O'Reilly Media, Incorporated",,"701,309",298,7.00(w) x 9.00(h) x 0.70(d)
4546,Penetration Tester's Open Source Toolkit / Edition 3,Jeremy Faircloth,,$27.63 ,$28.99 ,,9.7816E+12,978-1597496278,,Elsevier Science,,"701,362",464,7.50(w) x 9.20(h) x 1.20(d)
4547,C#: A Beginner's Guide,Pat McGee,,$29.03 ,$22.99 ,,9.78007E+12,978-0071835831,,McGraw-Hill Professional Publishing,,"701,383",496,7.30(w) x 9.00(h) x 1.20(d)
4548,Linux Administration / Edition 6,Wale Soyinka,,$21.00 ,$24.49 ,,9.78007E+12,978-0071767583,,McGraw-Hill Professional Publishing,,"701,412",736,7.34(w) x 9.12(h) x 1.38(d)
4549,"Beginning Java 8 Language Features: Lambda Expressions, Inner Classes, Threads, I/O, Collections, and Streams",Kishori Sharan,,$40.17 ,$29.99 ,,9.78143E+12,978-1430266587,,Apress,,"701,473",704,7.30(w) x 9.20(h) x 1.50(d)
4550,The Art of Total War,Martin Robinson,,,,,9.78178E+12,978-1783292165,,Titan,,"701,547",192,9.30(w) x 12.10(h) x 0.80(d)
4551,Professional Java EE Design Patterns,Murat Yener# Alex Theedom,,$39.65 ,$28.49 ,,9.78112E+12,978-1118843413,,Wiley,,"701,562",264,7.30(w) x 9.10(h) x 0.60(d)
4552,Arduino Robotics / Edition 1,John-David Warren# Josh Adams# Harald Molle,,$21.32 ,$23.99 ,,9.78143E+12,978-1430231837,,Apress,,"701,599",628,7.50(w) x 9.20(h) x 1.30(d)
4553,Programming Scala: Scalability = Functional Programming + Objects,Dean Wampler# Alex Payne,,$44.60 ,$22.99 ,,9.78149E+12,978-1491949856,,"O'Reilly Media, Incorporated",,"701,628",586,7.00(w) x 9.10(h) x 1.20(d)
4554,The Go Programming Language Phrasebook,David Chisnall,,$32.87 ,$24.49 ,,9.78032E+12,978-0321817143,Developer's Library Series,Addison-Wesley,,"701,660",288,4.50(w) x 6.90(h) x 0.70(d)
4555,"iWork ""X"" For Dummies",Jesse Feiler,,$18.80 ,$12.99 ,,9.78047E+12,978-0470770207,For Dummies Series,Wiley,,"701,765",456,7.30(w) x 9.20(h) x 1.00(d)
