"ID", "Title", "Author", "Price", "Edition", "ASIN", "ISBN-13", "ISBN-10", "Paperback", "Series", "Publisher", "File Size", "Print Length", "Publication Date", "Sold by", "Language", "Product Dimensions", "Shipping Weight"
"5350","SAS Certified Base Programmer for SAS 9 Certification Exam Preparation Course in a Book for Passing the SAS Certified Base Programmer for SAS 9 Exam - ... on Your First Try Certification Study Guide","William Manning","$29.94 - $32.44"," ","","978-1742440156","1742440150","134 pages","","Emereo Publishing (June 8, 2009)","","","","","English","5.9 x 0.3 x 8.8 inches","8.8 ounces (View shipping rates and policies)"
"5351","TOGAF 9 Foundation Part 1 Exam Preparation Course in a Book for Passing the TOGAF 9 Foundation Part 1 Certified Exam - The How To Pass on Your First Try Certification Study Guide","William Manning","$19.95","","","","","","","","","","","","","",""
"5352","TOGAF 9 Foundation Part 2 Exam Preparation Course in a Book for Passing the TOGAF 9 Foundation Part 2 Certified Exam - The How To Pass on Your First Try Certification Study Guide","William Manning","$44.95","","","","","","","","","","","","","",""
"5353","GSEC GIAC Security Essential Certification Exam Preparation Course in a Book for Passing the GSEC Certified Exam - The How To Pass on Your First Try Certification Study Guide 252 p","William Manning","$11.90 - $44.95"," ","","978-1742442273","1742442277","252 pages","","EMEREO PTY LTD (November 17, 2009)","","","","","English","6 x 0.6 x 9 inches","9.6 ounces (View shipping rates and policies)"
"5354","Check Point Certified Security Administrator (CCSA) Certification Exam Preparation Course in a Book for Passing the Check Point Certified Security ... on Your First Try Certification Study Guide","William Manning","$29.95","","","","","","","","","","","","","",""
"5355","Check Point Certified Security Administrator (CCSA) Certification Exam Preparation Course in a Book for Passing the Check Point Certified Security ... on Your First Try Certification Study Guide","William Manning","$29.95","","","","","","","","","","","","","",""
"5356","CompTIA Strata - Green IT Certification Exam Preparation Course in a Book for Passing the CompTIA Strata - Green IT Exam - The How To Pass on Your First Try Certification Study Guide","William Manning","$29.95","","","","","","","","","","","","","",""
"5357","ITIL V3 Foundation Complete Certification Kit - Third Edition: Study Guide Book and Online Course","Tim Malone","$33.12","3 Pap/Psc Edition","","978-1742442488","174244248X","256 pages","","Emereo Pty Ltd; 3 Pap/Psc edition (May 21, 2009)","","","","","English","7.4 x 0.6 x 9.7 inches","1 pounds"
"5358","ITIL V3 Service Capability OSA Certification Exam Preparation Course in a Book for Passing the ITIL V3 Service Capability OSA Exam - The How To Pass ... Certification Study Guide - Second Edition","Tim Malone; Ivanka Menken; Tim Malone; Gerard Blokdijk","$189.97","","","978-1742442624","1742442625","180 pages","","Emereo Pty Ltd; 2 edition (February 11, 2010)","","","","","English","6 x 0.4 x 9 inches","8 ounces"
"5359","CISM Certified Information Security Manager Certification Exam Preparation Course in a Book for Passing the CISM Exam - The How To Pass on Your First Try Certification Study Guide","William Manning","$29.95"," ","","978-1742443010","174244301X","186 pages","","EMEREO PTY LTD (October 5, 2010)","","","","","English","6 x 0.5 x 9 inches","9.6 ounces (View shipping rates and policies)"
"5360","Basic Administration for Citrix NetScaler 9.0: 1Y0-A11 Exam Certification Exam Preparation Course in a Book for Passing the Basic Administration for ... on Your First Try Certification Study Guide","William Manning","$44.95"," ","","978-1742443553","1742443559","202 pages","","EMEREO PTY LTD (June 18, 2010)","","","","","English","6 x 0.5 x 9 inches","11.4 ounces (View shipping rates and policies)"
"5361","CGEIT Exam Certification Exam Preparation Course in a Book for Passing the CGEIT Exam - The How To Pass on Your First Try Certification Study Guide","William Manning","$29.95"," ","","978-1742444017","1742444016","188 pages","","Tebbo (July 19, 2010)","","","","","English","6 x 0.4 x 9 inches","12.2 ounces (View shipping rates and policies)"
"5362","Cloud Computing Foundation Complete Certification Kit - Study Guide Book and Online Course - Second Edition","Tim Malone","$104.26 - $269.95","2nd Edition","","978-1742444031","1742444032","186 pages","","Emereo Pty Ltd; 2 edition (July 21, 2010)","","","","","English","7.4 x 0.4 x 9.7 inches","12 ounces (View shipping rates and policies)"
"5363","GSEC GIAC Security Essential Certification Exam Preparation Course in a Book for Passing the GSEC Certified Exam - The How To Pass on Your First Try Certification Study Guide - Second Edition","William Manning","$20.57 - $29.95","2nd Edition","","978-1742444352","1742444350","332 pages","","EMEREO PTY LTD; 2 edition (August 24, 2010)","","","","","English","6 x 0.8 x 9 inches","1.3 pounds (View shipping rates and policies)"
"5364","SCDJWS: Sun Certified Developer for Java Web Services 5 CX-310-230 Exam Certification Exam Preparation Course in a Book for Passing the SCDJWS Exam - ... on Your First Try Certification Study Guide","William Manning","$29.95","","","","","","","","","","","","","",""
"5365","Virtualization - The Complete Cornerstone Guide to Virtualization Best Practices: Concepts, Terms, and Techniques for Successfully Planning, ... IT Virtualization Technology - Second Edition","Ivanka Menken","$39.95","","","","","","","","","","","","","",""
"5366","CRISC Certified in Risk and Information Systems Control Exam Certification Exam Preparation Course in a Book for Passing the CRISC Exam - The How To Pass on Your First Try Certification Study Guide","William Manning","$32.44","","","","","","","","","","","","","",""
"5367","GIAC Secure Software Programmer - Java certification Exam Certification Exam Preparation Course in a Book for Passing the GSSP - Java Exam - The How To Pass on Your First Try Certification Study Guide","William Manning","$29.95","","","","","","","","","","","","","",""
"5368","GIAC Security Leadership Certification (GSLC) Exam Preparation Course in a Book for Passing the GSLC Exam - The How To Pass on Your First Try Certification Study Guide","William Manning","$26.42 - $29.95","1st Edition","","978-1742448046","1742448046","168 pages","","EMEREO PTY LTD; 1 edition (January 12, 2011)","","","","","English","6 x 0.4 x 9 inches","11 ounces (View shipping rates and policies)"
"5369","Basic Administration for Citrix XenApp 6 Certification Exam Preparation Course in a Book for Passing the 1Y0-A18 Exam - The How To Pass on Your First Try Certification Study Guide","William Manning","$29.95","","","","","","","","","","","","","",""
"5370","Red Hat Certified System Administrator (RHCSA) Exam Preparation Course in a Book for Passing the RHCSA Exam - The How To Pass on Your First Try Certification Study Guide - Second Edition","William Manning","$29.95","","","","","","","","","","","","","",""
"5371","CCDE - Cisco Certified Design Expert Exam Preparation Course in a Book for Passing the CCDE Exam - The How To Pass on Your First Try Certification Study Guide","William Manning","$29.95","","","","","","","","","","","","","",""
"5372","Itil® Foundation Complete Certification Kit - Study Book and eLearning Program - 4th edition","Ivanka Menken","$99.97","4 Stg Edition","","978-1743331361","1743331363","392 pages","","Emereo Pty Ltd; 4 Stg edition (September 12, 2011)","","","","","English","7.4 x 0.9 x 9.7 inches","1.8 pounds (View shipping rates and policies)"
"5373","Cloud Computing Foundation Complete Certification Kit - Study Guide Book and Online Course - Third Edition","Ivanka Menken","$137.91 - $269.95","3 Pap/Psc Edition","","","","","","","","","","","","",""
"5374","Manage Your Online Reputation: Don't Let Angry Clients, Jealous Lovers, or Ruthless Competitors Ruin Your Image","Tony Wilson","$2.01","1st Edition Edition","","978-1770400566","1770400567","184 pages","","Self-Counsel Press, Inc.; 1st Edition edition (January 16, 2011)","","","","","English","6.1 x 0.4 x 9.1 inches","9.1 ounces (View shipping rates and policies)"
"5375","100 Ideas that Changed the Web","Jim Boulton","$14.92","","","","","","","","","","","","","",""
"5376","The Computer: An Illustrated History From its Origins to the Present Day","Mark Frauenfelder","$21.95","","","978-1780971841","1780971842","","","Carlton Books; Reprint edition (March 5, 2013)","","","","","English","8.6 x 8.5 x 0.9 inches","2.2 pounds (View shipping rates and policies)"
"5377","Rethinking Cyberlaw: A New Vision for Internet Law (Rethinking Law series, #2)","Jacqueline Lipton","$93.95 - $99.95"," ","","978-1781002179","1781002177","","Rethinking Law","Edward Elgar Pub (April 27, 2015)","","","","","English","0.5 x 6 x 9 inches","14.1 ounces (View shipping rates and policies)"
"5378","Creating Mobile Apps with jQuery Mobile","Shane Gliser","$44.99","","","978-1782160069","178216006X","254 pages","","Packt Publishing (April 25, 2013)","","","","","English","7.5 x 0.6 x 9.2 inches","1.2 pounds (View shipping rates and policies)"
"5379","OpenCV Computer Vision Application Programming Cookbook, 2nd Edition","Robert Laganiere","$44.99","","","","","","","","","","","","","",""
"5380","Instant Chef Starter","John Ewart","$24.99","","","","","","","","","","","","","",""
"5381","Getting Started with MariaDB","Daniel Bartholomew","$34.99","","","","","","","","","","","","","",""
"5382","Haskell Financial Data Modeling and Predictive Analytics","Pavel Ryzhov","$39.99","","","","","","","","","","","","","",""
"5383","Instant Citrix XenApp","Andrew Mallett","$27.99","","","","","","","","","","","","","",""
"5384","Microsoft Dynamics GP 2013 Financial Management","Ian Grieve","$39.99","","","","","","","","","","","","","",""
"5385","VMWare Horizon View 6.0 Desktop Virtualization Cookbook","Jason Ventresco","$49.99","","","","","","","","","","","","","",""
"5386","Mastering PowerShell","Brenton J.W. Blawat","$49.99","","","","","","","","","","","","","",""
"5387","PowerShell Troubleshooting Guide","Michael Shepard","$29.99","","","","","","","","","","","","","",""
"5388","Raspberry Pi LED Blueprints","Agus Kurniawan","$29.99","","","","","","","","","","","","","",""
"5389","IBM Worklight Mobile Application Development Essentials","Muhammad Saif Uddin; Talha Haroon","$29.99","","","","","","","","","","","","","",""
"5390","Marketing Automation with Eloqua","Ben Griffith","$34.99","","","","","","","","","","","","","",""
"5391","Hyper-V Network Virtualization Cookbook","Ryan Boud","$49.99","","","","","","","","","","","","","",""
"5392","Reporting with Visual Studio and Crystal Reports","Mahmoud Elkoush","$39.99","","","","","","","","","","","","","",""
"5393","Silence, Screen, and Spectacle: Rethinking Social Memory in the Age of Information (Remapping Cultural History)","Lindsey a. Freeman; Benjamin Nienass; Lindsey a. Freeman; Rachel Daniell; Benjamin Nienass","$1.31 - $5.30"," ","","978-1782382805","1782382801","","Remapping Cultural History (Book 14)","Berghahn Books (February 20, 2014)","","","","","English","6 x 0.6 x 9 inches","1.1 pounds (View shipping rates and policies)"
"5394","Research Handbook on EU Internet Law (Research Handbooks in European Law series)(Elgar Original Reference)","Andrej Savin; Jan Trzaskowski","$263.86 - $280.00"," ","","978-1782544166","178254416X","","Research Handbooks in European Law","Edward Elgar Pub (November 26, 2014)","","","","","English","1.8 x 6.5 x 9.8 inches","2.4 pounds (View shipping rates and policies)"
"5395","Financial Crime and Gambling in a Virtual World: A New Frontier in Cybercrime","Clare Chambers-Jones; Henry Hillman","$103.59 - $110.00"," ","","978-1782545194","1782545190","","","Edward Elgar Pub (October 29, 2014)","","","","","English","0.8 x 6.2 x 9.8 inches","1 pounds (View shipping rates and policies)"
"5396","The Human Face of Computing (Advances in Computer Science and Engineering: Texts - Volume 9)","Cristian S Calude","$76.80"," ","","978-1783266432","1783266430","","Advances in Computer Science and Engineering","Imperial College Press (October 6, 2015)","","","","","English","6 x 1 x 9 inches","1.6 pounds (View shipping rates and policies)"
"5397","Libgdx Cross-platform Game Development Cookbook","David Saltares Marquez; Alberto Cejas Sanchez; David Saltares Marquez","$49.99","","","","","","","","","","","","","",""
"5398","Practical Mobile Forensics","Satish Bommisetty; Rohit Tamma; Heather Mahalik","$59.99","","","","","","","","","","","","","",""
"5399","Learning Android Intents","Muhammad Usama bin Aftab; Wajahat Karim","$44.99","","","","","","","","","","","","","",""
"5400","Simulating Innovation: Computer-Based Tools for Rethinking Innovation","Christopher Watts; Nigel Gilbert; Christopher Watts","$114.85 - $130.00","Reprint Edition","","978-1783472451","1783472456","304 pages","","Edward Elgar Pub; Reprint edition (July 31, 2015)","","","","","English","0.8 x 6.2 x 9.5 inches","1 pounds (View shipping rates and policies)"
"5401","Simulating Innovation: Computer-Based Tools for Rethinking Innovation","Christopher Watts; Nigel Gilbert; Christopher Watts","$114.85 - $130.00","Reprint Edition","","978-1783472451","1783472456","304 pages","","Edward Elgar Pub; Reprint edition (July 31, 2015)","","","","","English","0.8 x 6.2 x 9.5 inches","1 pounds (View shipping rates and policies)"
"5402","Privacy and Legal Issues in Cloud Computing (Elgar Law, Technology and Society)","Anne S.Y. Cheung; Rolf H. Weber; Anne S.Y. Cheung","$78.88 - $135.00"," ","","978-1783477067","1783477067","","Elgar Law, Technology and Society","Edward Elgar Pub (August 26, 2015)","","","","","English","0.8 x 6.5 x 9.5 inches","1.6 pounds (View shipping rates and policies)"
"5403","Arduino Computer Vision Programming","Ozen Ozkaya; Giray Yillikci; Ozen Ozkaya","$34.99","","","","","","","","","","","","","",""
"5404","Prezi Essentials","Domi Sinclair","$25.99","","","","","","","","","","","","","",""
"5405","Unity 3D UI Essentials","Simon Jackson","$44.99","","","","","","","","","","","","","",""
"5406","vCenter Troubleshooting","Chuck Mills","$29.99","","","","","","","","","","","","","",""
"5407","SketchUp 2014 for Architectural Visualization","Thomas Bleicher; Robin de Jongh","$49.99","","","","","","","","","","","","","",""
"5408","Kendo UI Cookbook","Sagar Ganatra","$49.99","","","","","","","","","","","","","",""
"5409","Learning LEGO Mindstorms EV3","Gary Garber","$44.99","","","","","","","","","","","","","",""
"5410","VMware vCloud Director Essentials","Lipika Pal","$50.99","","","","","","","","","","","","","",""
"5411","Building Single-page Web Apps with Meteor","Fabian Vogelsteller","$24.99","","","","","","","","","","","","","",""
"5412","Mastering OpenCV Android Application Programming","Salil Kapur; Nisarg Thakkar","$49.99","","","","","","","","","","","","","",""
"5413","VMware vRealize Orchestrator Cookbook","Daniel Langenhan","$49.99","","","","","","","","","","","","","",""
"5414","Unreal Engine Physics Essentials","Katax Emperore; Devin Sherry; Katax Emperore","$39.99","","","","","","","","","","","","","",""
"5415","Bootstrap Essentials","Snig Bhaumik","$29.99","","","","","","","","","","","","","",""
"5416","LibGDX Game Development Essentials","Juwal Bose","$44.99","","","","","","","","","","","","","",""
"5417","Learning Unity iOS Game Development","Kyle Langley","$44.99","","","","","","","","","","","","","",""
"5418","EU Internet Law (Elgar European Law series)","Andrej Savin","$51.76 - $55.00"," ","","978-1784717582","1784717584","288 pages","Elgar European Law","Edward Elgar Pub (February 26, 2015)","","","","","English","0.8 x 6.2 x 9.2 inches","15.5 ounces (View shipping rates and policies)"
"5419","Android Game Programming by Example","John Horton","$44.99","","","","","","","","","","","","","",""
"5420","Learning Puppet for Windows Server","Fuat Ulugay","$44.99","","","","","","","","","","","","","",""
"5421","Building Levels in Unity","Volodymyr Gerasimov","$44.99","","","","","","","","","","","","","",""
"5422","Hybrid Cloud Management with Red Hat CloudForms","Sangram Rath","$39.99","","","","","","","","","","","","","",""
"5423","Learning SAP BusinessObjects Dashboards","Taha M. Mahmoud","$54.99","","","","","","","","","","","","","",""
"5424","Git Essentials","Ferdinando Santacroce","$22.49","","","","","","","","","","","","","",""
"5425","From Paella to Porridge: A Farewell to Mallorca and a Scottish Adventure","Peter Kerr","$14.95","","","","","","","","","","","","","",""
"5426","Photoshop Elements 7 in Easy Steps: For Windows and Mac","Nick Vandome","$14.99","","","","","","","","","","","","","",""
"5427","Windows 7 for Seniors in Easy Steps: For the Over 50s","Michael Price","$12.37","","","","","","","","","","","","","",""
"5428","Computer Basics in Easy Steps  Windows 7 Edition","Michael Price","$11.54","","","","","","","","","","","","","",""
"5429","iPhone in Easy Steps: Covers iPhone 6 and iOS 8","Drew Provan","$13.26","","","","","","","","","","","","","",""
"5430","Coding for Beginners in Easy Steps: Basic Programming for All Ages","Mike McGrath","$11.00","","","","","","","","","","","","","",""
"5431","A Computer Called LEO: Lyons Tea Shops and the World's First Office Computer","Georgina Ferry","$2.64","","","978-1841151854","1841151858","","","Fourth Estate Ltd; illustrated edition edition (April 7, 2003)","","","","","English","7.7 x 5.4 x 1 inches","11.4 ounces"
"5432","Art, Technology, Consciousness: mind@large","Roy Ascott","$43.00","","","","","","","","","","","","","",""
"5433","Radiskull & Devil Doll: Kick It with the Coolest Superstars to Ever Hit the Computer","Joe Sparks; Tim Dedopulos","$84.84","","","978-1842224151","1842224158","120 pages","","Carlton Publishing Group (October 28, 2002)","","","","","English","5.7 x 0.3 x 5.1 inches","5.4 ounces"
"5434","Mastering JSP: A Server Side Technology","Anil Barnwal; V. S. Dixit; Anil Barnwal","$44.95","","","978-1842659373","1842659375","","","Alpha Science International Ltd (February 28, 2015)","","","","","English","0.5 x 6.2 x 9.5 inches","1.1 pounds (View shipping rates and policies)"
"5435","Web 2.0 and Libraries: Impacts, Technologies and Trends (Chandos Information Professional Series)","Dave Parkes; Geoff Walton; Dave Parkes","$76.00","1st Edition","","978-1843343462","1843343460","208 pages","Chandos Information Professional Series","Chandos Publishing; 1 edition (May 12, 2010)","","","","","English","6.2 x 0.4 x 9.2 inches","12.6 ounces (View shipping rates and policies)"
"5436","Coping with Continuous Change in the Business Environment: Knowledge Management and Knowledge Management Technology (Chandos Knowledge Management)","Antonie Botha; Derrick Kourie; Antonie Botha; Retha Snyman; Derrick Kourie","$66.88","1st Edition","","978-1843343561","1843343568","","Chandos Knowledge Management","Chandos Publishing; 1 edition (February 14, 2008)","","","","","English","6.1 x 0.7 x 9.2 inches","1.2 pounds (View shipping rates and policies)"
"5437","iPhone Application Development: Strategies for Efficient Mobile Design and Delivery (Chandos Information Professional Series)","Jim Hahn","$62.99","1st Edition","","978-1843345824","184334582X","184 pages","Chandos Information Professional Series","Chandos Publishing; 1 edition (January 28, 2011)","","","","","English","6.1 x 0.4 x 9.2 inches","11.4 ounces (View shipping rates and policies)"
"5438","Internet Law in China (Chandos Asian Studies Series)","Guosong Shao","$113.49","1st Edition","","978-1843346487","1843346486","","Chandos Asian Studies Series","Chandos Publishing; 1 edition (March 28, 2012)","","","","","English","6.1 x 0.8 x 9.2 inches","1.8 pounds (View shipping rates and policies)"
"5439","The Teaching Librarian: Web 2.0, Technology, and Legal Aspects (Chandos Information Professional Series)","Kris Helge; Laura McKinnon","$62.99","1st Edition","","978-1843347330","1843347334","196 pages","Chandos Information Professional Series","Chandos Publishing; 1 edition (December 26, 2013)","","","","","English","6.1 x 0.4 x 9.2 inches","12 ounces (View shipping rates and policies)"
"5440","Codifying Cyberspace: Communications Self-Regulation in the Age of Internet Convergence","Damian Tambini; Danilo Leonardi; Chris Marsden; Danilo Leonardi","$12.41 - $31.88","1st Edition","","978-1844721443","1844721442","336 pages","","Routledge; 1 edition (August 3, 2006)","","","","","English","6.1 x 0.7 x 9.2 inches","1.2 pounds (View shipping rates and policies)"
"5441","Computer Systems and Networks (Fasttrack)","Barry G. Blundell; Nawaz Khan; Barry G. Blundell; Aboubaker Lasebae; Nawaz Khan; Muthana Jabbar; Aboubaker Lasebae","$89.54","","","978-1844806393","1844806391","328 pages","Fasttrack","Cengage Learning EMEA; 1 edition (January 31, 2007)","","","","","English","9.6 x 7.5 x 0.7 inches","1.4 pounds (View shipping rates and policies)"
"5442","Data Mining IX : Data Mining, Protection, Detection and other Security Technologies (Wit Transactions on Information and Communication Technologies)","A. Zanasi; D. Almorza Gomar; A. Zanasi; N. F. F. Ebecken; D. Almorza Gomar; C. A. Brebbia; N. F. F. Ebecken","$242.00","","","","","","","","","","","","","",""
"5443","Computer Design of Diffractive Optics (Woodhead Publishing Series in Electronic and Optical Materials)","V A Soifer","$300.00","1st Edition","","978-1845696351","1845696352","","Woodhead Publishing Series in Electronic and Optical Materials","Woodhead Publishing; 1 edition (December 3, 2012)","","","","","English","6.1 x 1.9 x 9.2 inches","3.3 pounds (View shipping rates and policies)"
"5444","Computer Technology for Textiles and Apparel (Woodhead Publishing Series in Textiles)","Jinlian Hu","$199.49","1st Edition","","978-1845697297","1845697294","","Woodhead Publishing Series in Textiles","Woodhead Publishing; 1 edition (July 28, 2011)","","","","","English","6.1 x 0.9 x 9.2 inches","1.6 pounds (View shipping rates and policies)"
"5445","Robotics and Automation in the Food Industry: Current and Future Technologies (Woodhead Publishing Series in Food Science, Technology and Nutrition)","Darwin G Caldwell","$220.00","1st Edition","","978-1845698010","1845698010","","Woodhead Publishing Series in Food Science, Technology and Nutrition","Woodhead Publishing; 1 edition (December 17, 2012)","","","","","English","6.1 x 1.1 x 9.2 inches","2.1 pounds (View shipping rates and policies)"
"5446","Intelligent Spaces: The Application of Pervasive ICT (Computer Communications and Networks)","Alan Steventon; Steve Wright; Alan Steventon","$151.20","2006th Edition","","978-1846280023","1846280028","432 pages","Computer Communications and Networks","Springer; 2006 edition (November 29, 2005)","","","","","English","6.1 x 1 x 9.2 inches","1.4 pounds (View shipping rates and policies)"
"5447","Machine Learning and Data Mining for Computer Security: Methods and Applications (Advanced Information and Knowledge Processing)","Marcus A. Maloof","$41.87 - $129.99","2006th Edition","","978-1846280290","184628029X","","Advanced Information and Knowledge Processing","Springer; 2006 edition (September 1, 2005)","","","","","English","6.1 x 0.6 x 9.2 inches","1 pounds (View shipping rates and policies)"
"5448","Information Assurance: Security in the Information Environment (Computer Communications and Networks)","Andrew Blyth; Gerald L. Kovacich","$116.81","","","978-1846282669","1846282667","264 pages","Computer Communications and Networks","Springer; 2nd edition (March 7, 2006)","","","","","English","6.1 x 0.6 x 9.2 inches","14.4 ounces (View shipping rates and policies)"
"5449","Body Sensor Networks","Guang-Zhong Yang; M. Yacoub","$33.11 - $79.99","2006th Edition","","978-1846282720","1846282721","","","Springer; 2006 edition (May 15, 2006)","","","","","English","9.3 x 6.4 x 1.2 inches","1.8 pounds (View shipping rates and policies)"
"5450","Digital Image Processing: An Algorithmic Introduction using Java","Wilhelm Burger; Mark J. Burge","$33.73","1st Edition","","978-1846283796","1846283795","","","Springer; 1st edition (2008)","","","","","English","1.2 x 7.5 x 10.2 inches","3.3 pounds (View shipping rates and policies)"
"5451","Peer-to-Peer Computing: Building Supercomputers with Web Technologies (Computer Communications and Networks)","Alfred Wai-Sing Loo","$89.95","","","","","","","","","","","","","",""
"5452","Communications and Networking: An Introduction (Computer Communications and Networks)","John Cowley","$22.74","1st Edition. Edition","","978-1846284885","1846284880","240 pages","Computer Communications and Networks","Springer; 1st Edition. edition (August 28, 2006)","","","","","English","6.1 x 0.5 x 9.2 inches","13.6 ounces"
"5453","Semantic Web: Concepts, Technologies and Applications (NASA Monographs in Systems and Software Engineering)","Karin Breitman; Marco Antonio Casanova; Karin Breitman; Walt Truszkowski; Marco Antonio Casanova","$99.00","","","","","","","","","","","","","",""
"5454","Fieldwork for Design: Theory and Practice (Computer Supported Cooperative Work)","David Randall; Richard Harper; David Randall; Mark Rouncefield; Richard Harper","$159.00","2007th Edition","","978-1846287671","1846287677","","Computer Supported Cooperative Work","Springer; 2007 edition (April 23, 2007)","","","","","English","6.1 x 0.8 x 9.2 inches","1.4 pounds (View shipping rates and policies)"
"5455","The Geospatial Web: How Geobrowsers, Social Software and the Web 2.0 are Shaping the Network Society (Advanced Information and Knowledge Processing)","Arno Scharl; Klaus Tochtermann; Arno Scharl","$35.83 - $219.00","2007th Edition","","978-1846288265","1846288266","","","Springer; 2007 edition (May 18, 2007)","","","","","English","6.1 x 0.8 x 9.2 inches","1.3 pounds (View shipping rates and policies)"
"5456","Web Engineering: Modelling and Implementing Web Applications (Human-Computer Interaction Series)","Gustavo Rossi; Oscar Pastor; Gustavo Rossi; Daniel Schwabe; Oscar Pastor; Luis Olsina; Daniel Schwabe","$44.22 - $129.99","2008th Edition","","","","","","","","","","","","",""
"5457","Cognition, Communication and Interaction: Transdisciplinary Perspectives on Interactive Technology (Human-Computer Interaction Series)","Satinder P. Gill","$28.00 - $169.00","2008th Edition","","978-1846289262","1846289262","","Human-Computer Interaction Series (Book 11)","Springer; 2008 edition (October 3, 2007)","","","","","English","6.1 x 1.3 x 9.2 inches","2.2 pounds (View shipping rates and policies)"
"5458","Computer and Telecommunications Law Review 2006: v. 12","Michele T. Rennie; Simon Stokes; Michele T. Rennie; Henry Carr; Simon Stokes","$778.67","","","978-1847030924","1847030920","","","Sweet & Maxwell (April 23, 2007)","","","","","English","","1.7 pounds"
"5459","Documentum Content Management Foundations: EMC Proven Professional Certification Exam E20-120 Study Guide: Learn the technical fundamentals of the EMC ... effectively preparing for the E20-120 exam","Pawan Kumar","$59.99","","","","","","","","","","","","","",""
"5460","Elgg Social Networking: Create and manage your own social network site using this free open-source tool (From Technologies to Solutions)","Mayank Sharma","$34.99","","","","","","","","","","","","","",""
"5461","WordPress Theme Design: A Complete Guide to Creating Professional WordPress Themes","Tessa Blakeley Silver","$39.99","","","","","","","","","","","","","",""
"5462","Alfresco Developer Guide","Jeff Potts","$22.39"," ","","978-1847193117","1847193110","533 pages","","Packt Publishing (October 31, 2008)","","","","","English","7.5 x 1.3 x 9.2 inches","2.4 pounds (View shipping rates and policies)"
"5463","Blogger: Beyond the Basics: Customize and promote your blog with original templates, analytics, advertising, and SEO (From Technologies to Solutions)","Lee Jordan","$39.99","","","","","","","","","","","","","",""
"5464","Selling Online with Drupal e-Commerce: Walk through the creation of an online store with Drupal's e-Commerce module (From Technologies to Solutions)","Michael Peacock","$35.54","","","","","","","","","","","","","",""
"5465","Microsoft Visual C++ Windows Applications by Example: Code and explanation for real-world MFC C++ Applications","Stefan Björnander","$16.54"," ","","978-1847195562","1847195563","440 pages","","Packt Publishing (June 26, 2008)","","","","","English","7.5 x 1 x 9.2 inches","2.1 pounds (View shipping rates and policies)"
"5466","Cacti 0.8 Network Monitoring","S. M. Ibrahim Lavlu; Dinangkur Kundu; S. M. Ibrahim Lavlu","$12.64"," ","","978-1847195968","1847195962","132 pages","","Packt Publishing (July 31, 2009)","","","","","English","7.5 x 0.3 x 9.2 inches","10.6 ounces (View shipping rates and policies)"
"5467","Getting Started with Audacity 1.3","Bethany Hiitola","$14.59"," ","","978-1847197641","1847197647","220 pages","","Packt Publishing (March 2, 2010)","","","","","English","7.5 x 0.5 x 9.2 inches","1.1 pounds (View shipping rates and policies)"
"5468","Linux Email","Alistair McDonald; Ian Haycox; Magnus Bäck; Carl Taylor; David Rusenko; Patrick Ben Koetter; Ralf Hilderbrandt; Patrick Ben Koetter","$44.99","","","","","","","","","","","","","",""
"5469","WordPress and Flash 10x Cookbook","Peter Spannagle; Sarah Soward","$39.99","","","","","","","","","","","","","",""
"5470","VirtualBox 3.1: Beginner's Guide","Alfonso V. Romero","$49.99","","","","","","","","","","","","","",""
"5471","Spring Security 3","Peter Mularien","$18.49"," ","","978-1847199744","1847199747","420 pages","","Packt Publishing (May 26, 2010)","","","","","English","7.5 x 1 x 9.2 inches","1.8 pounds (View shipping rates and policies)"
"5472","Guide to Advanced Empirical Software Engineering","Forrest Shull; Janice Singer; Forrest Shull; Dag I. K. Sjøberg; Janice Singer","$140.95","","","","","","","","","","","","","",""
"5473","Stepping into Virtual Reality","Mario Gutierrez; F. Vexo; Mario Gutierrez; Daniel Thalmann; F. Vexo","$17.19 - $89.95","2008th Edition","","978-1848001169","1848001169","214 pages","","Springer; 2008 edition (April 4, 2008)","","","","","English","6.1 x 0.6 x 9.2 inches","12.8 ounces (View shipping rates and policies)"
"5474","From P2P and Grids to Services on the Web: Evolving Distributed Communities (Computer Communications and Networks)","Ian J. Taylor; Andrew Harrison","$1.50 - $79.95","2nd Edition","","978-1848001220","1848001223","","Computer Communications and Networks","Springer; 2nd edition (November 14, 2008)","","","","","English","6.1 x 1.1 x 9.2 inches","1.8 pounds (View shipping rates and policies)"
"5475","Human Ear Recognition by Computer (Advances in Computer Vision and Pattern Recognition)","Bir Bhanu; Hui Chen","$9.95 - $179.00","2008th Edition","","978-1848001282","1848001282","","Advances in Computer Vision and Pattern Recognition","Springer; 2008 edition (June 5, 2008)","","","","","English","6.1 x 0.6 x 9.2 inches","13.6 ounces (View shipping rates and policies)"
"5476","Automatic Speech Recognition on Mobile Devices and over Communication Networks (Advances in Computer Vision and Pattern Recognition)","Zheng-Hua Tan; Boerge Lindberg; Zheng-Hua Tan","$101.64 - $189.00","2008th Edition","","978-1848001428","1848001428","","Advances in Computer Vision and Pattern Recognition","Springer; 2008 edition (March 3, 2008)","","","","","English","6.1 x 0.9 x 9.2 inches","1.6 pounds (View shipping rates and policies)"
